exp_group,bucket,bucket_ctr,bucket_median
1,0,0.2005923731951129,0.2
2,0,0.1965104910882154,0.1333333333333333
1,1,0.2087991345113595,0.2045454545454545
2,1,0.2103748766853009,0.2027027027027027
1,2,0.2046319161716612,0.2048192771084337
2,2,0.1920462022077637,0.1367521367521367
1,3,0.2090823767237022,0.2105263157894736
2,3,0.206496020649602,0.1694915254237288
1,4,0.2087417644223043,0.2058823529411764
2,4,0.1999862173523534,0.1634615384615384
1,5,0.2114922438278348,0.2
2,5,0.2024189359649773,0.155688622754491
1,6,0.2169576059850374,0.2105263157894736
2,6,0.1989867097437403,0.1359223300970873
1,7,0.2129856225145304,0.2093023255813953
2,7,0.1980373976201514,0.1237113402061855
1,8,0.2054897820677173,0.2063492063492063
2,8,0.2044728434504792,0.1627906976744186
1,9,0.2044109736417428,0.1969696969696969
2,9,0.2099367949435955,0.2222222222222222
1,10,0.2095766341360668,0.2
2,10,0.1948769077383235,0.1527777777777778
1,11,0.2109446652399877,0.2115384615384615
2,11,0.2238338804488892,0.1929824561403508
1,12,0.2067763157894737,0.2117647058823529
2,12,0.2112773835236038,0.2
1,13,0.2106646639128802,0.2033898305084746
2,13,0.204066377634923,0.1595092024539877
1,14,0.213464447806354,0.2209302325581395
2,14,0.1912484700122399,0.1346153846153846
1,15,0.2042160737812911,0.2
2,15,0.2122573859833636,0.1578947368421052
1,16,0.205728649864391,0.2
2,16,0.196087182920479,0.1875
1,17,0.2078594466134782,0.2013422818791946
2,17,0.2177255829672186,0.2
1,18,0.2110776067290906,0.2
2,18,0.1932308624214431,0.1320754716981132
1,19,0.2108020648740272,0.2
2,19,0.1837195744060632,0.1428571428571428
1,20,0.2105176528680767,0.2149532710280373
2,20,0.2129530697789101,0.1733333333333333
1,21,0.2130198157968183,0.2142857142857142
2,21,0.1975340027964916,0.1333333333333333
1,22,0.2097582226094533,0.2
2,22,0.1886585097809363,0.1294964028776978
1,23,0.2089691909012381,0.2066666666666666
2,23,0.1944390307282531,0.1538461538461538
1,24,0.2171732074358217,0.217391304347826
2,24,0.2225128607550789,0.2417582417582417
1,25,0.2185007974481658,0.2195121951219512
2,25,0.2293831775700934,0.2686567164179104
1,26,0.2142702546713801,0.2073170731707317
2,26,0.1905877627527112,0.1267605633802817
1,27,0.2157120552222861,0.2051282051282051
2,27,0.180578160117802,0.1437908496732026
1,28,0.2065481267633357,0.2058823529411764
2,28,0.1986112148137086,0.1666666666666666
1,29,0.2033815752852769,0.2040816326530612
2,29,0.1971196324438947,0.1590909090909091
1,30,0.2121109032148324,0.2096774193548387
2,30,0.2084717045069468,0.1739130434782608
1,31,0.210984368398817,0.2131147540983606
2,31,0.2040296770439336,0.1586206896551724
1,32,0.2090136682674547,0.2035398230088495
2,32,0.1944320712694877,0.1359223300970873
1,33,0.2094073103247415,0.2044198895027624
2,33,0.2204878814024629,0.1979166666666666
1,34,0.2130719875907777,0.2105263157894736
2,34,0.1927218715187523,0.1523809523809524
1,35,0.2119768379388697,0.2
2,35,0.197773680256778,0.1372549019607843
1,36,0.2115645715198466,0.2033898305084746
2,36,0.2017167381974249,0.1395348837209302
1,37,0.215288204190874,0.2105263157894736
2,37,0.195023963913166,0.1349693251533742
1,38,0.2075918484500574,0.2
2,38,0.1904301169847831,0.1379310344827586
1,39,0.2104822759774836,0.2010869565217391
2,39,0.1952085181898846,0.18
1,40,0.2077663170668284,0.2068965517241379
2,40,0.2028985507246377,0.1612903225806451
1,41,0.2006479807112718,0.2
2,41,0.2004138127853881,0.1466666666666666
1,42,0.2081647940074906,0.2019230769230769
2,42,0.2025790349417637,0.1764705882352941
1,43,0.2083301016055223,0.2
2,43,0.2127132235019682,0.1870503597122302
1,44,0.2137608010982799,0.2181818181818181
2,44,0.1905016484006059,0.1538461538461538
1,45,0.20889469342865,0.2
2,45,0.1800409900677912,0.120253164556962
1,46,0.2114147909967845,0.2110552763819095
2,46,0.1893254262416605,0.1428571428571428
1,47,0.1994065281899109,0.2
2,47,0.1968076616121309,0.145631067961165
1,48,0.2163691424928275,0.2121212121212121
2,48,0.1947795735640033,0.1461187214611872
1,49,0.2062883989880737,0.2075471698113207
2,49,0.1925115286668043,0.1428571428571428
